col_name,data_type,comment
warehouse_id,string,The ID of the SQL warehouse.
workspace_id,string,The ID of the workspace where the warehouse is deployed.
account_id,string,The ID of the Databricks account.
warehouse_name,string,The name of the SQL warehouse.
warehouse_type,string,"The type of SQL warehouse. Possible values are CLASSIC, PRO, and SERVERLESS."
warehouse_channel,string,The channel of the SQL warehouse. Possible values are CURRENT and PREVIEW.
warehouse_size,string,"The cluster size of the SQL warehouse. Possible values are 2X_SMALL, X_SMALL, SMALL, MEDIUM, LARGE, X_LARGE, 2X_LARGE, 3X_LARGE, 4X_LARGE, and 5X_LARGE."
min_clusters,int,The minimum number of clusters permitted.
max_clusters,int,The maximum number of clusters permitted.
auto_stop_minutes,int,The number of minutes before the SQL warehouse auto-stops due to inactivity.
tags,"map<string,string>",Tags for the SQL warehouse.
change_time,timestamp,Timestamp of change to the SQL warehouse definition.
delete_time,timestamp,Timestamp of when the SQL warehouse was deleted. The value is null if the SQL warehouse is not deleted.
created_by,string,The name of the Databricks principal or user that created this warehouse.
